Sentiment,Tweet
0,@APGB yeah.  just good.  Deadpool was WAAAAAY wrong 
0,I feel bad for Danny Gokey. 
0,How much blood do they need from...they took even more today 
0,@Sebaastgeen My reply is no 
0,Noooo!!!! It's raining today! And we have to walk around Arlington National Cemetary 
0,loves how amazing her satin sheets feel this morning... too bad I must part with them 
0,"Okay, apparently can't read Twitter since so many of you commented on Lost from last night.  "
0,2nd relaxation day and very nice it is too. Off to collect my bike later and send my Z404 off for repair  May turn a pedal tomorrow.
0,@OlgiMolgi loll ... i know .... i just don't get it 
0,becoming more uncomfortable with this back pain as the day goes on. 
0,im still sleepy.. got only 2 hours of sleep 
0,keeps thinking it's friday! 
0,missing my italian chef 
0,i hate school but gotta find a way to make me like it..  if not..i will be stupid. lol
0,@problogger yes. facebook is NOT very user friendly. everything takes three more steps than it needs to. 
0,"@essieruth  it is digital, the uni just doesn't subscribe "
0,@griffinmike Is it? I dunno i work in a stupid basement  I bet i'll get lashed on later alright. Date for Andys Stag has been set BTW
0,I so just forgot what I was gonna twitter 
0,"@solangeknowles Hey Solo, new to Twitter. Um, yeah that did sound kinda sarcastic, but I don't blame you. BET= eh. I miss the old BET "
0,@McKerrowTweet mmmm..that sounds so yummy! i had smiley faces and gravy as it appears my mum forgot to shop  flu sucks 
0,suddenly misses Cebu.  http://plurk.com/p/tqslo
0,@Ipswich772 Everyone gets them and someone always asks 1st  So thought I'd ask on here for the record XD
0,Back to work!   Still sick though!  Booooo!
0,It's supposed to rain 
0,I love the new Google AdWords interface apart from it's size - i have to scroll sideways on my MacBook. 
0,Raining in Dumfries 
0,i hate serious conversations 
0,I feel so sick. Off to school. 
0,@steffanwilliams Nooooooooo!!!!! This is largely private now right? 
0,wants to watch David Cook and David Archie on Saturday but its sooo far 
0,i love working with cool year 9 kids 
0,is glad she only has to get her kids up 6 more times before summer vacation!  Time to get ready for work 
0,thinks Ozzy's sick.  http://plurk.com/p/tqsqu
0,"@ hoseachanchez i'm up too, sorry u can't rest "
0,"http://twitpic.com/55a1e - went to therapy with Cesca.  Get well soon, Bleh!"
0,"Bored, Nothing to do "
0,"@kissability I have a friend who is still convinced she wasn't raped by her boyfriend. She said no, but they were dating after all. "
0,"im not watching the footy show tonight, cause i love Matty, and that girl is a lsut and channel 9 are homos for sacking him "
0,"@linda360 No I'm not, The Footy Show died the other day   I think I DID tell you, on facebook. Justin Melvey is androgynous."
0,wondering why things aren't going to plan like they should be 
0,Danny g. is eliminated... aw 
0,@agnoaa photoshop sucks 
0,gotta do history and English homework 
0,@One_Tree_Hill why are they leaving? 
0,Is SO GLAD that Pau's operation went well!  my poor little boy 
0,"finals this morning and tomorrow morning, and crazy morning sickness to go with it. "
0,Morning wasted!! Have to get ready for work in a bit 
0,"@dark_fairydust  That makes me feel like stupid,SL.I just i'm here for MCR  Somehow they don't reply.My nerves get twisted-hun "
0,@stgoddard that sucks! I hoped you would be mending now 
0,"@WGN_Chi_Traffic I'd love to, except I would then be late to work...sorry  "
0,is going to do a spot of shopping this lunchtime - then will have tomato soup for lunch - oh the joys of drastic dieting! 
0,goshhh i'm hungry and want it to go to starbucks soooo badly =/ but it's far away from our home ok it's not that far away but still 
0,cycling buddy fell while cycling 
0,"Morning, i'm soooooo sleepy. plus, I can't get rid of this cold/allergy thing  blah."
0,@andifoo I'm so sorry girl!! I hope fin feels better. I know how scary it is!! 
0,"Governance: great if you're governing, huge hindrance if you're not. "
0,Why does my back hurt so much today 
0,"been up for an hour now (5am) i just couldnt sleep gettin blake to school,cleaning,breakfast for VAN &amp; da girls, laundry then work til 10 "
0,"school  history, science, fcs, math &amp; english."
0,Feeling a bit dejected at the moment. 
0,"I am battling to find my way round Facebook, even though I am (almost) the geekiest person I know "
0,at work again... I swear you would think that is all i do 
0,the sort of nervous that makes you need a poo 
0,"@rana__xx exactly, im hell devo, i lovesd that guy, ahh i hate her  ahah, atleast someone knows my frustration, you going saturday ?"
0,"@ceruleanbreeze  I've had, like, three. They break really easily. As soon as you drop them, they froth and you can't see the window."
0,http://twitpic.com/55a5q - serious backup at starbucks drivethru 
0,MCAS today. Ugh  And they STILL give us HW ridiculous....
0,"Due to recent sad changes to twitter, we don't see the posts directed at people we don't follow. Is quite sad "
0,We still can't believe that Danny G. was sent home last night on AM. Idol 
0,"@ltd7900 me neither, and i'm super dupe busy got 300+ vms *smh* i gotta go through and return calls, i'm tired dude "
0,well iï¿½m off to lern chemistry...writing a test tomorrow.. 
0,"2 essays, a book, Macbeth, art history prjct, bio test, math test... i really do hate school. ugh "
0,I'm bored with studying  still have to do it through. Anyone reccommend a good fantasy/romance book?
0,James has returned to Soton and I have 2 English Essays to write then work tonight  fml.
0,@lornaparsons my brain reads BPN as BNP 
0,@Boddingtons my prediction from the future is that your day will get steadily worse 
0,Why cant @straylightrun be on tour in the states in july rather than may  I guess i'll just have to wait til they come back to Australia.
0,@tsarnick EVERYONE mispells/mispronounces my name 
0,"Pants ! Doc says I should stay home for the next few days, was aiming to go to Network Central tomorrow.  "
0,mabey not so i will just say that sucked 
